City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
59,Alexandria,31.2156,29.9553,clear sky,80.4,74,0,8.32,EG,2022-08-07 20:35:02
60,Mecca,21.4267,39.8261,light rain,91.33,46,100,2.55,SA,2022-08-07 20:36:55
61,Belmonte,-15.8631,-38.8828,few clouds,73.22,74,19,8.01,BR,2022-08-07 20:36:56
62,Floro,61.5996,5.0328,light intensity drizzle,57.24,100,75,8.05,NO,2022-08-07 20:36:56
63,Hithadhoo,-0.6,73.0833,overcast clouds,81.93,69,100,3.58,MV,2022-08-07 20:28:49
64,Bilibino,68.0546,166.4372,clear sky,40.42,60,9,2.64,RU,2022-08-07 20:36:57
65,Hilo,19.7297,-155.09,overcast clouds,89.28,76,100,8.01,US,2022-08-07 20:30:14
66,Castro,-24.7911,-50.0119,heavy intensity rain,57.54,95,100,2.24,BR,2022-08-07 20:36:58
67,Merrill,45.1805,-89.6835,overcast clouds,74.17,88,100,3.44,US,2022-08-07 20:36:58
68,Khatanga,71.9667,102.5,broken clouds,51.22,81,64,7.25,RU,2022-08-07 20:36:58
69,Roebourne,-20.7833,117.1333,clear sky,63.9,36,0,6.78,AU,2022-08-07 20:36:59
70,Tasiilaq,65.6145,-37.6368,moderate rain,48.36,94,100,6.87,GL,2022-08-07 20:28:50
71,Codrington,-38.2667,141.9667,clear sky,37.69,90,7,7.54,AU,2022-08-07 20:37:00
72,Yaan,7.3833,8.5667,light rain,74.07,91,78,5.37,NG,2022-08-07 20:37:00
73,Lavrentiya,65.5833,-171.0,moderate rain,39.78,92,100,13.15,RU,2022-08-07 20:29:57
74,Wamba,8.9333,8.6,overcast clouds,72.43,95,100,1.92,NG,2022-08-07 20:37:01
75,Mataura,-46.1927,168.8643,few clouds,33.48,91,11,5.14,NZ,2022-08-07 20:29:59
76,Kavaratti,10.5669,72.642,overcast clouds,80.55,83,99,23.8,IN,2022-08-07 20:33:15
77,Saint-Augustin,51.226,-58.6502,overcast clouds,73.54,73,100,22.15,CA,2022-08-07 20:37:02
78,Chokurdakh,70.6333,147.9167,overcast clouds,47.93,51,100,13.87,RU,2022-08-07 20:37:02
79,Port Elizabeth,-33.918,25.5701,light intensity drizzle,61.32,99,100,12.66,ZA,2022-08-07 20:27:33
80,Butaritari,3.0707,172.7902,overcast clouds,82.15,71,100,15.93,KI,2022-08-07 20:37:03
81,Atuona,-9.8,-139.0333,overcast clouds,77.04,69,100,17.31,PF,2022-08-07 20:28:41
82,Buckeye,33.3703,-112.5838,broken clouds,106.83,30,63,11.01,US,2022-08-07 20:37:04
83,Yerbogachen,61.2767,108.0108,overcast clouds,46.99,98,100,5.06,RU,2022-08-07 20:37:04
84,Salinas,36.6777,-121.6555,clear sky,88.0,60,0,12.66,US,2022-08-07 20:33:33
85,Ailigandi,9.2333,-78.0167,overcast clouds,82.06,74,100,4.27,PA,2022-08-07 20:37:05
86,Sukumo,32.9333,132.7333,overcast clouds,77.47,94,100,4.21,JP,2022-08-07 20:37:06
87,Alofi,-19.0595,-169.9187,scattered clouds,78.69,73,40,11.5,NU,2022-08-07 20:33:53
88,Manbij,36.5281,37.9549,clear sky,74.73,66,0,19.26,SY,2022-08-07 20:37:07
